,db,model,balance,tt_thresh,pn_thresh,split,auroc,aupr1,bg_aupr1
0,1_WH,rf_bl62,minsize,0.3,0.0,0,0.746885329265192,0.783675119274681,0.622950819672131
1,1_WH,rf_bl62,minsize,0.3,0.0,1,0.795003813882532,0.798942142341915,0.622950819672131
2,1_WH,rf_bl62,minsize,0.3,0.0,2,0.762395118230359,0.786923079946731,0.622950819672131
3,1_WH,rf_bl62,minsize,0.3,0.4,0,0.510869565217391,0.637930116636803,0.622950819672131
4,1_WH,rf_bl62,minsize,0.3,0.4,1,0.586829392321383,0.719690338478535,0.622950819672131
5,1_WH,rf_bl62,minsize,0.3,0.4,2,0.574752097635393,0.69028491061689,0.622950819672131
6,1_WH,rf_bl62,minsize,0.3,0.5,0,0.425311467073481,0.61694799529104,0.622950819672131
7,1_WH,rf_bl62,minsize,0.3,0.5,1,0.63488431222985,0.757923133344538,0.622950819672131
8,1_WH,rf_bl62,minsize,0.3,0.5,2,0.519641495041953,0.629897810495244,0.622950819672131
9,1_WH,rf_bl62,minsize,0.3,0.6,0,0.538011695906433,0.65331249585117,0.622950819672131
10,1_WH,rf_bl62,minsize,0.3,0.6,1,0.545766590389016,0.72090189819326,0.622950819672131
11,1_WH,rf_bl62,minsize,0.3,0.6,2,0.438278667683702,0.654424078968576,0.622950819672131
12,1_WH,rf_bl62,minsize,0.3,0.7,0,0.664950419527079,0.75226797425612,0.622950819672131
13,1_WH,rf_bl62,minsize,0.3,0.7,1,0.62210780574625,0.737620749295204,0.622950819672131
14,1_WH,rf_bl62,minsize,0.3,0.7,2,0.505085176709891,0.630480330515562,0.622950819672131
15,1_WH,rf_bl62,minsize,0.4,0.0,0,0.751525553012967,0.798154809576972,0.622950819672131
16,1_WH,rf_bl62,minsize,0.4,0.0,1,0.813946097126875,0.880530312943595,0.622950819672131
17,1_WH,rf_bl62,minsize,0.4,0.0,2,0.78883803712179,0.823795220681144,0.622950819672131
18,1_WH,rf_bl62,minsize,0.4,0.4,0,0.722794304602085,0.743396392932529,0.622950819672131
19,1_WH,rf_bl62,minsize,0.4,0.4,1,0.705758962623951,0.749138321922612,0.622950819672131
20,1_WH,rf_bl62,minsize,0.4,0.4,2,0.741164505466565,0.800976370743541,0.622950819672131
21,1_WH,rf_bl62,minsize,0.4,0.5,0,0.527714213068904,0.641501549153382,0.622950819672131
22,1_WH,rf_bl62,minsize,0.4,0.5,1,0.4534706331045,0.60740489833395,0.622950819672131
23,1_WH,rf_bl62,minsize,0.4,0.5,2,0.596364098652428,0.701358091748587,0.622950819672131
24,1_WH,rf_bl62,minsize,0.4,0.6,0,0.567569285532672,0.645290356136254,0.622950819672131
25,1_WH,rf_bl62,minsize,0.4,0.6,1,0.612573099415205,0.71178926061002,0.622950819672131
26,1_WH,rf_bl62,minsize,0.4,0.6,2,0.547800661072972,0.686647452324689,0.622950819672131
27,1_WH,rf_bl62,minsize,0.4,0.7,0,0.444126620900076,0.565191428311472,0.622950819672131
28,1_WH,rf_bl62,minsize,0.4,0.7,1,0.682176455631833,0.747548085387362,0.622950819672131
29,1_WH,rf_bl62,minsize,0.4,0.7,2,0.624141876430206,0.745155043508668,0.622950819672131
30,1_WH,rf_bl62,minsize,0.5,0.0,0,0.736587846427663,0.787667339598812,0.622950819672131
31,1_WH,rf_bl62,minsize,0.5,0.0,1,0.780320366132723,0.808351992110274,0.622950819672131
32,1_WH,rf_bl62,minsize,0.5,0.0,2,0.731248410882278,0.782449191783329,0.622950819672131
33,1_WH,rf_bl62,minsize,0.5,0.4,0,0.746758199847445,0.796466717696505,0.622950819672131
34,1_WH,rf_bl62,minsize,0.5,0.4,1,0.845537757437071,0.871050466037264,0.622950819672131
35,1_WH,rf_bl62,minsize,0.5,0.4,2,0.695461479786423,0.733800987384629,0.622950819672131
36,1_WH,rf_bl62,minsize,0.5,0.5,0,0.531782354436817,0.602932220011838,0.622950819672131
37,1_WH,rf_bl62,minsize,0.5,0.5,1,0.652873124841088,0.715403935166771,0.622950819672131
38,1_WH,rf_bl62,minsize,0.5,0.5,2,0.637808288838037,0.706245737871061,0.622950819672131
39,1_WH,rf_bl62,minsize,0.5,0.6,0,0.566806509026189,0.660389758126916,0.622950819672131
40,1_WH,rf_bl62,minsize,0.5,0.6,1,0.600559369438088,0.662358765862999,0.622950819672131
41,1_WH,rf_bl62,minsize,0.5,0.6,2,0.528731248410882,0.688134512658773,0.622950819672131
