,db,ext_set,model,balance,tt_thresh,pn_thresh,auroc,aupr1,bg_aupr1
0,1_WH,bydate,alg_mfdl,minsize,1.0,0.0,0.962161422708618,0.40822553879888,0.0134952766531714
1,1_WH,bydate,alg_mfdl,random_bal_1,1.0,0.0,0.95178659370725,0.23787094047701,0.0134952766531714
2,1_WH,bydate,algpred2,minsize,1.0,0.0,0.936621067031464,0.396859185748003,0.0134952766531714
3,1_WH,bydate,algpred2,random_bal_1,1.0,0.0,0.917967168262654,0.40053625976028,0.0134952766531714
4,1_WH,bydate,algpred2_blast,minsize,1.0,0.0,0.883958960328317,0.153652817907286,0.0134952766531714
5,1_WH,bydate,algpred2_blast,random_bal_1,1.0,0.0,0.860112175102599,0.14516696044233,0.0134952766531714
6,1_WH,bydate,algpred2_merci,minsize,1.0,0.0,0.552913816689466,0.0164880952136416,0.0134952766531714
7,1_WH,bydate,algpred2_merci,random_bal_1,1.0,0.0,0.552913816689466,0.0164880952136416,0.0134952766531714
8,1_WH,bydate,algpred2_ml,minsize,1.0,0.0,0.910867305061559,0.381682250536086,0.0134952766531714
9,1_WH,bydate,algpred2_ml,random_bal_1,1.0,0.0,0.913690834473324,0.356372903331768,0.0134952766531714
10,1_WH,bydate,algpred2_no_merci,minsize,1.0,0.0,0.932544459644323,0.548247169459161,0.0134952766531714
11,1_WH,bydate,algpred2_no_merci,random_bal_1,1.0,0.0,0.924388508891929,0.531708882067678,0.0134952766531714
12,1_WH,bydate,allergenfp,minsize,1.0,0.0,0.584651162790698,0.0175871990674265,0.0134952766531714
13,1_WH,bydate,allergenfp,random_bal_1,1.0,0.0,0.545198358413133,0.015530388726231,0.0134952766531714
14,1_WH,bydate,allertop,minsize,1.0,0.0,0.811274965800274,0.0841970628891423,0.0134952766531714
15,1_WH,bydate,allertop,random_bal_1,1.0,0.0,0.826084815321477,0.104638612113551,0.0134952766531714
16,1_WH,bydate,allertopv2,minsize,1.0,0.0,0.76749658002736,0.0485923252009161,0.0134952766531714
17,1_WH,bydate,allertopv2,random_bal_1,1.0,0.0,0.794473324213406,0.0574027578673719,0.0134952766531714
18,1_WH,bydate,deepalgpro,minsize,1.0,0.0,0.875316005471956,0.084960023532071,0.0134952766531714
19,1_WH,bydate,deepalgpro,random_bal_1,1.0,0.0,0.88134610123119,0.0869599267493396,0.0134952766531714
20,1_WH,bydate,ffnn_bl62,minsize,1.0,0.0,0.900902872777018,0.0794277063867463,0.0134952766531714
21,1_WH,bydate,ffnn_bl62,random_bal_1,1.0,0.0,0.888749658002736,0.0702616727905142,0.0134952766531714
22,1_WH,bydate,ffnn_esm2,minsize,1.0,0.0,0.956760601915185,0.368685176377026,0.0134952766531714
23,1_WH,bydate,ffnn_esm2,random_bal_1,1.0,0.0,0.949482900136799,0.257420009771607,0.0134952766531714
24,1_WH,bydate,ffnn_ohe,minsize,1.0,0.0,0.901751025991792,0.0874623198620678,0.0134952766531714
25,1_WH,bydate,ffnn_ohe,random_bal_1,1.0,0.0,0.892361149110807,0.0800293248590161,0.0134952766531714
26,1_WH,bydate,ffnn_t5,minsize,1.0,0.0,0.965285909712722,0.304487582550808,0.0134952766531714
27,1_WH,bydate,ffnn_t5,random_bal_1,1.0,0.0,0.95015047879617,0.302130153739831,0.0134952766531714
28,1_WH,bydate,ffnn_xtrimopglm_100b,minsize,1.0,0.0,0.952596443228454,0.346788686161987,0.0134952766531714
29,1_WH,bydate,ffnn_xtrimopglm_100b,random_bal_1,1.0,0.0,0.954019151846785,0.310377783008473,0.0134952766531714
30,1_WH,bydate,ffnn_xtrimopglm_10b,minsize,1.0,0.0,0.948667578659371,0.4768449235077,0.0134952766531714
31,1_WH,bydate,ffnn_xtrimopglm_10b,random_bal_1,1.0,0.0,0.945745554035568,0.375166712848192,0.0134952766531714
32,1_WH,bydate,lora_esm2,minsize,1.0,0.0,0.939264021887825,0.454082931538503,0.0134952766531714
33,1_WH,bydate,lora_esm2,random_bal_1,1.0,0.0,0.936145006839945,0.396084418008,0.0134952766531714
34,1_WH,bydate,lora_t5,minsize,1.0,0.0,0.946744186046512,0.296912411654954,0.0134952766531714
35,1_WH,bydate,lora_t5,random_bal_1,1.0,0.0,0.941179206566347,0.272209245897413,0.0134952766531714
36,1_WH,bydate,lora_xtrimopglm_10b,minsize,1.0,0.0,0.924350205198358,0.277045493312099,0.0134952766531714
37,1_WH,bydate,lora_xtrimopglm_10b,random_bal_1,1.0,0.0,0.933841313269494,0.244541617684443,0.0134952766531714
38,1_WH,bydate,plm4alg,minsize,1.0,0.0,0.911595075239398,0.177866648022324,0.0134952766531714
39,1_WH,bydate,plm4alg,random_bal_1,1.0,0.0,0.899414500683995,0.133108099116248,0.0134952766531714
40,1_WH,bydate,rf_bl62,minsize,1.0,0.0,0.870697674418605,0.258147092536903,0.0134952766531714
41,1_WH,bydate,rf_bl62,random_bal_1,1.0,0.0,0.868224350205198,0.249212738843736,0.0134952766531714
42,1_WH,bydate,rf_bl62,random_bal_1,1.0,0.4,0.86010123119015,0.257964745211303,0.0134952766531714
43,1_WH,bydate,rf_bl62,random_bal_1,1.0,0.6,0.699543091655267,0.14665164017015,0.0134952766531714
44,1_WH,bydate,rf_esm2,minsize,1.0,0.0,0.942596443228454,0.53487584991305,0.0134952766531714
45,1_WH,bydate,rf_esm2,random_bal_1,0.5,0.0,0.940071135430917,0.533490255120342,0.0134952766531714
46,1_WH,bydate,rf_esm2,random_bal_1,0.5,0.4,0.94427633378933,0.549403679303113,0.0134952766531714
47,1_WH,bydate,rf_esm2,random_bal_1,0.5,0.6,0.77722024623803,0.378257794388859,0.0134952766531714
48,1_WH,bydate,rf_esm2,random_bal_1,1.0,0.0,0.958752393980848,0.566305695245366,0.0134952766531714
49,1_WH,bydate,rf_esm2,random_bal_1,1.0,0.4,0.940103967168263,0.532503776212028,0.0134952766531714
50,1_WH,bydate,rf_esm2,random_bal_1,1.0,0.6,0.745231190150479,0.381732443679622,0.0134952766531714
51,1_WH,bydate,rf_esm2,random_lencon_1,0.5,0.0,0.933017783857729,0.55162819651826,0.0134952766531714
52,1_WH,bydate,rf_esm2,random_lencon_1,0.5,0.4,0.945072503419973,0.551985584054459,0.0134952766531714
53,1_WH,bydate,rf_esm2,random_lencon_1,0.5,0.6,0.735250341997264,0.317247843232678,0.0134952766531714
54,1_WH,bydate,rf_esm2,random_lencon_1,1.0,0.0,0.948270861833105,0.521334205318446,0.0134952766531714
55,1_WH,bydate,rf_esm2,random_lencon_1,1.0,0.4,0.948735978112175,0.528003590993663,0.0134952766531714
56,1_WH,bydate,rf_esm2,random_lencon_1,1.0,0.6,0.752793433652531,0.352814948881105,0.0134952766531714
57,1_WH,bydate,rf_ohe,minsize,1.0,0.0,0.912621067031464,0.371503979740471,0.0134952766531714
58,1_WH,bydate,rf_ohe,random_bal_1,1.0,0.0,0.925444596443228,0.390725065778203,0.0134952766531714
59,1_WH,bydate,rf_ohe,random_bal_1,1.0,0.4,0.911247606019152,0.377749570250826,0.0134952766531714
60,1_WH,bydate,rf_ohe,random_bal_1,1.0,0.6,0.744839945280438,0.297751739383852,0.0134952766531714
61,1_WH,bydate,rf_t5,minsize,1.0,0.0,0.949551299589603,0.581850001548249,0.0134952766531714
62,1_WH,bydate,rf_t5,random_bal_1,0.5,0.0,0.946158686730506,0.56654414889232,0.0134952766531714
63,1_WH,bydate,rf_t5,random_bal_1,0.5,0.4,0.938473324213406,0.571956192808059,0.0134952766531714
64,1_WH,bydate,rf_t5,random_bal_1,0.5,0.6,0.706487004103967,0.312195340125876,0.0134952766531714
65,1_WH,bydate,rf_t5,random_bal_1,1.0,0.0,0.957296853625171,0.59179160679572,0.0134952766531714
66,1_WH,bydate,rf_t5,random_bal_1,1.0,0.4,0.940886456908345,0.551070159590088,0.0134952766531714
67,1_WH,bydate,rf_t5,random_bal_1,1.0,0.6,0.697321477428181,0.365114309237602,0.0134952766531714
68,1_WH,bydate,rf_t5,random_lencon_1,0.5,0.0,0.927504787961696,0.574593907625197,0.0134952766531714
69,1_WH,bydate,rf_t5,random_lencon_1,0.5,0.4,0.942547195622435,0.572179542812366,0.0134952766531714
70,1_WH,bydate,rf_t5,random_lencon_1,0.5,0.6,0.637740082079343,0.279694180332206,0.0134952766531714
71,1_WH,bydate,rf_t5,random_lencon_1,1.0,0.0,0.948068399452804,0.56649893503201,0.0134952766531714
72,1_WH,bydate,rf_t5,random_lencon_1,1.0,0.4,0.938027359781122,0.568782239120749,0.0134952766531714
73,1_WH,bydate,rf_t5,random_lencon_1,1.0,0.6,0.669890560875513,0.327672441339272,0.0134952766531714
